id,sort,name,venue_id,date,time
1,9-Jan,THE 905s,2,"Saturday, May 19, 2012",07:25:00 PM
2,A,ABYSSED,2,"Sunday, May 20, 2012",08:40:00 PM
3,A,AFTER THE FALL,6,"Saturday, May 19, 2012",07:45:00 PM
4,A,AGAINST THE GRAIN,2,"Sunday, May 20, 2012",05:10:00 PM
5,A,ANCHORESS,2,"Sunday, May 20, 2012",08:05:00 PM
6,A,ASPIGA,4,"Sunday, May 20, 2012",04:40:00 PM
7,A,THE AVERSIONS,4,"Friday, May 18, 2012",09:40:00 PM
8,B,BAD TOWN,1,"Sunday, May 20, 2012",08:20:00 PM
9,B,BASTARD 86,2,"Sunday, May 20, 2012",06:20:00 PM
10,B,BILLY THE KID,3,"Friday, May 18, 2012",06:45:00 PM
11,B,BLACK LOVE,4,"Saturday, May 19, 2012",08:00:00 PM
12,B,BLACKLIST ROYALS,2,"Friday, May 18, 2012",07:10:00 PM
13,B,BLACKTOP KIDS,4,"Sunday, May 20, 2012",06:30:00 PM
14,B,BOUNCING SOULS,2,"Friday, May 18, 2012",09:15:00 PM
15,B,BRAZENHELL,4,"Saturday, May 19, 2012",07:20:00 PM
16,B,BREAK ANCHOR,3,"Sunday, May 20, 2012",08:15:00 PM
17,B,BRENDAN KELLY,3,"Friday, May 18, 2012",09:00:00 PM
18,B,BRIDGE UNDER FIRE,1,"Sunday, May 20, 2012",04:20:00 PM
19,B,BRIXTON ROBBERS,6,"Saturday, May 19, 2012",08:30:00 PM
20,B,BROADCASTER,5,"Friday, May 18, 2012",08:15:00 PM
21,B,BRUTAL CHÉRIE,5,"Saturday, May 19, 2012",08:15:00 PM
22,B,BRUTAL YOUTH,3,"Sunday, May 20, 2012",06:20:00 PM
23,B,THE BEATDOWN,4,"Sunday, May 20, 2012",09:45:00 PM
24,C,CEREBRAL SCRUB,2,"Sunday, May 20, 2012",04:00:00 PM
25,C,CHEAP GIRLS,6,"Saturday, May 19, 2012",09:15:00 PM
26,C,CHUCK RAGAN,3,"Friday, May 18, 2012",12:30:00 AM
27,C,CLASSICS OF LOVE,4,"Sunday, May 20, 2012",01:00:00 AM
28,C,CORY BRANNAN,3,"Friday, May 18, 2012",09:45:00 PM
